parametro,Fecha,SE,SE b,NE,NE b,CE,CE b,NO,NO b,SO,SO b,NO2,NO2 b,NTE,NTE b,NE2,NE2 b,SE2,SE2 b,SO2,SO2 b,SE3,SE3 b,SUR,SUR b,NTE2,NTE2 b
NO   ,1/1/2017,,e,,e,16,,,e,,e,,e,2.5,,,e,32.3,,17,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 1:00,,e,,e,8.9,,,e,,e,,e,2.7,,,e,37.7,,19.5,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 2:00,,e,,e,2,,,e,,e,,e,2.2,,,e,45.3,,16.7,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 3:00,,e,,e,7.2,,,e,,e,,e,2.3,,,e,40.2,,12.5,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 4:00,,e,,e,2.1,,,e,,e,,e,3.9,,,e,20,,6.5,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 5:00,,e,,e,3.3,,,e,,e,,e,9.6,,,e,29.7,,7.6,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 6:00,,e,,e,6.3,,,e,,e,,e,7.5,,,e,17.1,,8.6,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 7:00,,e,,e,3.5,,,e,,e,,e,3.2,,,e,23.8,,8.1,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 8:00,,e,,e,6.6,,,e,,e,,e,8.8,,,e,24.7,,9.1,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 9:00,,e,,e,14.3,,,e,,e,,e,10.4,,,e,23.1,,8.8,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 10:00,,e,,e,11.7,,,e,,e,,e,6.1,,,e,17.3,,8,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 11:00,,e,,e,9.2,,,e,,e,,e,4.6,,,e,18.2,,8.4,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 12:00,,e,,e,3.5,,,e,,e,,e,2.8,,,e,18.7,,9.3,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 13:00,,e,,e,1.9,,,e,,e,,e,2.3,,,e,18,,7.9,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 14:00,,e,,e,1.8,,,e,,e,,e,2.3,,,e,18.4,,6.5,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 15:00,,e,,e,1.3,,,e,,e,,e,2.4,,,e,18.7,,6.1,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 16:00,,e,,e,1.2,,,e,,e,,e,2.5,,,e,19.6,,6.1,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 17:00,,e,,e,1.1,,,e,,e,,e,2.5,,,e,17.6,,5.7,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 18:00,,e,,e,1.1,,,e,,e,,e,2.5,,,e,30.8,,5.6,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 19:00,,e,,e,1,,,e,,e,,e,3.4,,,e,23.3,,6.1,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 20:00,,e,,e,1.2,,,e,,e,,e,3.7,,,e,27.9,,7.4,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 21:00,,e,,e,5.3,,,e,,e,,e,3.9,,,e,22,,8.9,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 22:00,,e,,e,7.7,,,e,,e,,e,4.2,,,e,31.8,,11.4,,ND,ND,ND,ND,ND,ND
NO   ,1/1/2017 23:00,,e,,e,4.3,,,e,,e,,e,8.8,,,e,47.6,,8.1,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017,,e,,e,9.7,,,e,,e,,e,6.2,,,e,47.4,,7.5,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 1:00,,e,,e,11.3,,,e,,e,,e,3.6,,,e,34.5,,6.9,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 2:00,,e,,e,1.8,,,e,,e,,e,3.2,,,e,21.2,,8.7,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 3:00,,e,,e,1.2,,,e,,e,,e,2.1,,,e,26.8,,13.7,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 4:00,,e,,e,1.7,,,e,,e,,e,2.1,,,e,32.3,,15.4,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 5:00,,e,,e,1.7,,,e,,e,,e,2.5,,,e,46.1,,13.8,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 6:00,,e,,e,9.3,,,e,,e,,e,2.7,,,e,54.9,,14,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 7:00,,e,,e,22.1,,,e,,e,,e,2.5,,,e,78.8,,9.7,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 8:00,,e,,e,53.6,,,e,,e,,e,8.3,,,e,76.3,,19.6,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 9:00,,e,,e,54.3,,,e,,e,,e,7.4,,,e,51,,16.3,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 10:00,,e,,e,40.2,,,e,,e,,e,3.6,,,e,24.2,,10.8,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 11:00,,e,,e,11.2,,,e,,e,,e,2.4,,,e,19.9,,8.2,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 12:00,,e,,e,3.9,,,e,,e,,e,2.3,,,e,22.1,,7.7,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 13:00,,e,,e,3.1,,,e,,e,,e,2.2,,,e,22.6,,7.3,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 14:00,,e,,e,2.4,,,e,,e,,e,2.2,,,e,20.4,,7,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 15:00,,e,,e,2.7,,,e,,e,,e,2.7,,,e,20.7,,6.2,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 16:00,,e,,e,2,,,e,,e,,e,2.4,,,e,23.5,,6.4,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 17:00,,e,,e,1.9,,,e,,e,,e,2.3,,,e,26.1,,6.7,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 18:00,,e,,e,1.3,,,e,,e,,e,2.5,,,e,49.9,,7.1,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 19:00,,e,,e,1.2,,,e,,e,,e,3.1,,,e,40,,6.9,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 20:00,,e,,e,1.3,,,e,,e,,e,8.6,,,e,41.9,,9.3,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 21:00,,e,,e,1.8,,,e,,e,,e,4.4,,,e,40.6,,8.8,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 22:00,,e,,e,7.1,,,e,,e,,e,4.9,,,e,38.3,,9.6,,ND,ND,ND,ND,ND,ND
NO   ,1/2/2017 23:00,,e,,e,4.1,,,e,,e,,e,2.7,,,e,59.9,,9.4,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017,,e,,e,1.9,,,e,,e,,e,2.1,,,e,26.9,,8.2,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 1:00,,e,,e,1.5,,,e,,e,,e,2.1,,,e,18.6,,10.7,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 2:00,,e,,e,1.1,,,e,,e,,e,2.7,,,e,17.3,,7.2,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 3:00,,e,,e,1,,,e,,e,,e,2.2,,,e,31.5,,7.4,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 4:00,,e,,e,1.1,,,e,,e,,e,2.1,,,e,46.5,,7.2,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 5:00,,e,,e,1.3,,,e,,e,,e,2.4,,,e,93.6,,7.6,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 6:00,,e,,e,2.5,,,e,,e,,e,5.4,,,e,100,,7.8,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 7:00,,e,,e,13.4,,,e,,e,,e,23.8,,,e,138.5,,10.3,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 8:00,,e,,e,31.9,,,e,,e,,e,38.4,,,e,141.6,,18.3,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 9:00,,e,,e,42.6,,,e,,e,,e,17.8,,,e,61.1,,10.7,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 10:00,,e,,e,14.6,,,e,,e,,e,4.8,,,e,35.8,,8,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 11:00,,e,,e,14.5,,,e,,e,,e,3.6,,,e,24.1,,7.5,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 12:00,,e,,e,5.7,,,e,,e,,e,2.4,,,e,21,,8,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 13:00,,e,,e,4.2,,,e,,e,,e,2.4,,,e,20.4,,7.8,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 14:00,,e,,e,4.4,,,e,,e,,e,2.5,,,e,18.9,,7.3,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 15:00,,e,,e,2.8,,,e,,e,,e,2.6,,,e,18.7,,7.1,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 16:00,,e,,e,2.5,,,e,,e,,e,2.6,,,e,18.6,,6.8,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 17:00,,e,,e,1.8,,,e,,e,,e,2.3,,,e,26.9,,6.3,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 18:00,,e,,e,1.6,,,e,,e,,e,2.2,,,e,69,,6.4,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 19:00,,e,,e,1.2,,,e,,e,,e,2.7,,,e,45.1,,6.3,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 20:00,,e,,e,4.5,,,e,,e,,e,9.6,,,e,60.1,p,5.6,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 21:00,,e,,e,11.2,,,e,,e,,e,8.9,,,e,72,,5.9,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 22:00,,e,,e,4.9,,,e,,e,,e,14,,,e,71.7,,8.6,,ND,ND,ND,ND,ND,ND
NO   ,1/3/2017 23:00,,e,,e,12.4,,,e,,e,,e,10.4,,,e,28.1,,6.5,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017,,e,,e,13.1,,,e,,e,,e,2.5,,,e,26.8,,8.6,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 1:00,,e,,e,8.1,,,e,,e,,e,1.9,,,e,33.1,,6.5,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 2:00,,e,,e,6.1,,,e,,e,,e,1.9,,,e,32.8,,7.2,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 3:00,,e,,e,5.1,,,e,,e,,e,2,,,e,28.3,,6.6,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 4:00,,e,,e,3.9,,,e,,e,,e,1.9,,,e,25.8,,7.1,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 5:00,,e,,e,2.4,,,e,,e,,e,2,,,e,25.8,,7.3,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 6:00,,e,,e,4.6,,,e,,e,,e,5,,,e,52.5,,8.3,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 7:00,,e,,e,18,,,e,,e,,e,7.3,,,e,24.6,,14.8,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 8:00,,e,,e,50.3,,,e,,e,,e,7.5,,,e,54.7,,30.9,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 9:00,,e,,e,41.7,,,e,,e,,e,3.2,,,e,48.2,,22.9,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 10:00,,e,,e,21.5,,,e,,e,,e,3.8,,,e,18.3,,22.5,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 11:00,,e,,e,8.1,,,e,,e,,e,3.2,,,e,17.8,,15.1,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 12:00,,e,,e,19.7,,,e,,e,,e,2.9,,,e,25.8,,14,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 13:00,,e,,e,13.7,,,e,,e,,e,3.9,,,e,26.5,,15.4,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 14:00,,e,,e,13,,,e,,e,,e,5.5,,,e,24.7,,15.8,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 15:00,,e,,e,12.5,,,e,,e,,e,4.1,,,e,23.4,,13.8,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 16:00,,e,,e,15.1,,,e,,e,,e,4.2,,,e,24.4,,15.5,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 17:00,,e,,e,17.4,,,e,,e,,e,4.8,,,e,20.9,,18,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 18:00,,e,,e,9.3,,,e,,e,,e,5.1,,,e,22.7,,14.8,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 19:00,,e,,e,14.1,,,e,,e,,e,6,,,e,19.5,,15.4,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 20:00,,e,,e,7.6,,,e,,e,,e,6.3,,,e,19.4,,12.1,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 21:00,,e,,e,14.6,,,e,,e,,e,5.9,,,e,,e,12.9,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 22:00,,e,,e,17.2,,,e,,e,,e,5.6,,,e,17.3,,14.7,,ND,ND,ND,ND,ND,ND
NO   ,1/4/2017 23:00,,e,,e,6.1,,,e,,e,,e,4.2,,,e,17.1,,16.7,,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017,,e,,e,13,,,e,,e,,e,4.2,,,e,17.8,,14.4,,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 1:00,,e,,e,16.2,,,e,,e,,e,3.9,,,e,17.1,,12.9,,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 2:00,,e,,e,16.2,,,e,,e,,e,4,,,e,16.9,,13.1,,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 3:00,,e,,e,17,,,e,,e,,e,4.6,,,e,17.1,,13,,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 4:00,,e,,e,16.4,,,e,,e,,e,7.1,,,e,17,,13.6,,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 5:00,,e,,e,19.3,,,e,,e,,e,9.2,,,e,19.1,,14,,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 6:00,,e,,e,12.7,,,e,,e,,e,13.7,,,e,26.9,,14.5,,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 7:00,,e,,e,19.1,,,e,,e,,e,8.6,,,e,39.1,,16.2,,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 8:00,,e,,e,25.7,,,e,,e,,e,15.8,,,e,73.8,,20.9,,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 9:00,,e,,e,28.4,,,e,,e,,e,11.7,,,e,52.3,,19,,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 10:00,,e,,e,25.6,,,e,,e,,e,10,,,e,26.8,,16.3,p,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 11:00,,e,,e,24.6,,,e,,e,,e,6.7,,,e,30.4,,,e,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 12:00,,e,,e,21.1,,,e,,e,,e,4.5,,,e,23.8,,,e,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 13:00,,e,,e,16,,,e,,e,,e,3.9,,,e,24.5,,,e,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 14:00,,e,,e,10.6,,,e,,e,,e,3.4,,,e,21,,,e,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 15:00,,e,,e,5.9,,,e,,e,,e,2.8,,,e,19.6,,,e,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 16:00,,e,,e,3.9,,,e,,e,,e,2.7,,,e,18.4,,,e,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 17:00,,e,,e,2.7,,,e,,e,,e,3.2,,,e,17.9,,,e,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 18:00,,e,,e,2,p,,e,,e,,e,3.4,,,e,17.8,,,e,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 19:00,,e,,e,2.5,,,e,,e,,e,3.9,,,e,67.7,,,e,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 20:00,,e,,e,7.1,,,e,,e,,e,4.4,,,e,96.2,,,e,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 21:00,,e,,e,7.7,,,e,,e,,e,5,,,e,124.1,,2.9,p,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 22:00,,e,,e,14.7,,,e,,e,,e,10.2,,,e,119.9,,6.3,p,ND,ND,ND,ND,ND,ND
NO   ,1/5/2017 23:00,,e,,e,18.6,,,e,,e,,e,2.8,,,e,71.8,,8.7,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017,,e,,e,15.3,,,e,,e,,e,18.1,,,e,70.6,,10.1,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 1:00,,e,,e,11.9,,,e,,e,,e,8.3,,,e,53,,14.4,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 2:00,,e,,e,18.6,,,e,,e,,e,2.2,,,e,38.8,,14.6,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 3:00,,e,,e,13.3,,,e,,e,,e,2,,,e,43.9,,11.9,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 4:00,,e,,e,3,,,e,,e,,e,2,,,e,29.3,,9.6,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 5:00,,e,,e,2.5,,,e,,e,,e,2,,,e,29.2,,9.2,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 6:00,,e,,e,2.4,,,e,,e,,e,2.4,,,e,24.2,,8.6,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 7:00,,e,,e,11.1,,,e,,e,,e,2.5,,,e,22.4,,13,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 8:00,,e,,e,13.8,,,e,,e,,e,3.2,,,e,29.6,,15.1,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 9:00,,e,,e,9.1,p,,e,,e,,e,3.9,,,e,29.9,,13.6,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 10:00,,e,,e,12.4,,,e,,e,,e,4.4,,,e,35.6,,15.3,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 11:00,,e,,e,11.8,,,e,,e,,e,3.9,,,e,35.2,,11.7,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 12:00,,e,,e,10.8,,,e,,e,,e,3.2,,,e,33.4,,12.6,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 13:00,,e,,e,6.4,,,e,,e,,e,3.1,,,e,21.6,,10.6,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 14:00,,e,,e,7.9,,,e,,e,,e,3.1,,,e,20.3,,10.4,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 15:00,,e,,e,9.8,,,e,,e,,e,3.5,,,e,19.1,,12.3,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 16:00,,e,,e,7.7,,,e,,e,,e,3.2,,,e,19.1,,10.3,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 17:00,,e,,e,5.4,,,e,,e,,e,2.9,,,e,21.2,,9.1,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 18:00,,e,,e,5.1,,,e,,e,,e,3.3,,,e,22,,9.9,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 19:00,,e,,e,4.2,,,e,,e,,e,3.3,,,e,19.2,,8.3,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 20:00,,e,,e,2.4,,,e,,e,,e,2.4,,,e,17.3,,7,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 21:00,,e,,e,2.3,,,e,,e,,e,2.3,,,e,15.9,,6.5,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 22:00,,e,,e,1.8,,,e,,e,,e,2.2,,,e,14.8,,6.2,,ND,ND,ND,ND,ND,ND
NO   ,1/6/2017 23:00,,e,,e,2.5,,,e,,e,,e,2.2,,,e,13.1,,5.6,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017,,e,,e,1,,,e,,e,,e,2,,,e,12.6,,5.2,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 1:00,,e,,e,1,,,e,,e,,e,1.8,,,e,12.2,,5.3,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 2:00,,e,,e,,e,,e,,e,,e,1.8,,,e,12,,5.2,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 3:00,,e,,e,,e,,e,,e,,e,1.8,,,e,11.5,p,5.3,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 4:00,,e,,e,,e,,e,,e,,e,1.7,,,e,11.2,,4.9,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 5:00,,e,,e,,e,,e,,e,,e,1.8,,,e,11.3,,5.1,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 6:00,,e,,e,1.1,,,e,,e,,e,1.9,,,e,10.5,,5.3,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 7:00,,e,,e,1.6,,,e,,e,,e,2,,,e,10.3,,5.7,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 8:00,,e,,e,3,,,e,,e,,e,2.1,,,e,10.1,,6.3,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 9:00,,e,,e,7.1,,,e,,e,,e,2.4,,,e,10.6,,7.3,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 10:00,,e,,e,10.3,,,e,,e,,e,2.9,,,e,12.4,,8.4,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 11:00,,e,,e,12.8,,,e,,e,,e,3.4,,,e,14.4,,8.7,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 12:00,,e,,e,9.6,,,e,,e,,e,3,,,e,19.6,,9.5,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 13:00,,e,,e,10.6,,,e,,e,,e,3.1,,,e,18.2,,8.8,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 14:00,,e,,e,11.3,,,e,,e,,e,3.2,,,e,18.9,,8.7,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 15:00,,e,,e,4.9,,,e,,e,,e,3,,,e,17.1,,8.2,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 16:00,,e,,e,4.2,,,e,,e,,e,2.8,,,e,19.6,,7.2,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 17:00,,e,,e,2.2,,,e,,e,,e,2.9,,,e,23,,6.6,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 18:00,,e,,e,1.8,,,e,,e,,e,3.8,,,e,29.2,,6.6,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 19:00,,e,,e,1.4,,,e,,e,,e,3.2,,,e,25.9,,7.1,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 20:00,,e,,e,1.1,,,e,,e,,e,2.8,,,e,24.6,,6,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 21:00,,e,,e,1,,,e,,e,,e,3.1,,,e,28.5,,5.8,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 22:00,,e,,e,1.1,,,e,,e,,e,2.7,,,e,25,,5.6,,ND,ND,ND,ND,ND,ND
NO   ,1/7/2017 23:00,,e,,e,1,,,e,,e,,e,2.7,,,e,17.3,,5.3,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017,,e,,e,1,,,e,,e,,e,2,,,e,13.7,,5.1,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 1:00,,e,,e,,e,,e,,e,,e,1.8,,,e,11.5,,5.1,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 2:00,,e,,e,,e,,e,,e,,e,1.8,,,e,11.6,,5,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 3:00,,e,,e,,e,,e,,e,,e,1.8,,,e,12,,5,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 4:00,,e,,e,,e,,e,,e,,e,1.8,,,e,12.8,,5,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 5:00,,e,,e,,e,,e,,e,,e,1.9,,,e,16.2,,5,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 6:00,,e,,e,1.1,,,e,,e,,e,3.1,,,e,22.3,,5.1,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 7:00,,e,,e,2,,,e,,e,,e,1.7,,,e,18.9,,5.5,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 8:00,,e,,e,5.1,,,e,,e,,e,2.5,,,e,15.7,,5.3,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 9:00,,e,,e,5.3,,,e,,e,,e,5.5,,,e,13,,5.6,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 10:00,,e,,e,7.2,,,e,,e,,e,6.3,,,e,12.9,,5.6,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 11:00,,e,,e,11.7,,,e,,e,,e,4.7,,,e,15.2,,6,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 12:00,,e,,e,7.7,,,e,,e,,e,4.1,,,e,16.5,,7.1,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 13:00,,e,,e,3.6,,,e,,e,,e,3.4,,,e,16.1,,7.4,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 14:00,,e,,e,3.7,,,e,,e,,e,3.2,,,e,15.2,,7,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 15:00,,e,,e,2.3,,,e,,e,,e,3.2,,,e,15,,6.8,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 16:00,,e,,e,2.2,,,e,,e,,e,2.9,,,e,17.6,,6.4,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 17:00,,e,,e,1.6,,,e,,e,,e,3.1,,,e,19.8,,6.4,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 18:00,,e,,e,1.2,,,e,,e,,e,3.2,,,e,35.4,,6.5,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 19:00,,e,,e,2.2,,,e,,e,,e,2.9,,,e,52.4,,6.2,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 20:00,,e,,e,3.6,,,e,,e,,e,2.7,,,e,56.2,,6.5,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 21:00,,e,,e,7.4,,,e,,e,,e,3.2,,,e,53.1,,7.5,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 22:00,,e,,e,12.6,,,e,,e,,e,2.9,,,e,48.8,,7.4,,ND,ND,ND,ND,ND,ND
NO   ,1/8/2017 23:00,,e,,e,14,,,e,,e,,e,3.2,,,e,37.1,,6.5,,ND,ND,ND,ND,ND,ND
NO   ,1/9/2017,,e,,e,11,,,e,,e,,e,2.7,,,e,49.3,,6.7,,ND,ND,ND,ND,ND,ND
NO   ,1/9/2017 1:00,,e,,e,14.4,,,e,,e,,e,2.1,,,e,56.8,,8.2,,ND,ND,ND,ND,ND,ND
NO   ,1/9/2017 2:00,,e,,e,19.6,,,e,,e,,e,2.1,,,e,30.7,,7.4,,ND,ND,ND,ND,ND,ND
